Instance,Income
111994,34845.15
111995,20940.81
111996,49949.664
111997,105785.664
111998,30156.37
111999,94060.55
112000,97209.414
112001,46543.25
112002,24643.846
112003,112876.164
112004,5295.3784
112005,164699.78
112006,13413.037
112007,95335.62
112008,294161.1
112009,78513.984
112010,37382.67
112011,21245.785
112012,25062.176
112013,23908.008
112014,130559.375
112015,51139.883
112016,51494.516
112017,24682.395
112018,200274.12
112019,53354.863
112020,44647.617
112021,18466.463
112022,72663.13
112023,61011.906
112024,21336.072
112025,71868.164
112026,36160.293
112027,82445.25
112028,21762.734
112029,47240.035
112030,161683.28
112031,237523.44
112032,254141.77
112033,69540.51
112034,188011.33
112035,96554.23
112036,192701.36
112037,143994.58
112038,216202.81
112039,29692.775
112040,59564.047
112041,64982.914
112042,43060.945
112043,71317.63
112044,35588.797
112045,19467.072
112046,292246.8
112047,20092.092
112048,23786.332
112049,101324.24
112050,45750.47
112051,63724.758
112052,123325.984
112053,190768.1
112054,80357.445
112055,32275.781
112056,102589.89
112057,14352.205
112058,71694.97
112059,27234.191
112060,341666.2
112061,118677.65
112062,179010.6
112063,78163.28
112064,22128.205
112065,67495.68
112066,17646.086
112067,122735.42
112068,65628.8
112069,298462.5
112070,332616.72
112071,38736.79
112072,92788.71
112073,39583.785
112074,18755.867
112075,15896.68
112076,106381.664
112077,1138117.0
112078,25549.75
112079,204014.9
112080,93871.64
112081,913933.25
112082,43245.05
112083,53349.07
112084,23538.496
112085,42097.543
112086,23546.852
112087,52377.77
112088,144334.36
112089,50552.84
112090,196766.89
112091,53414.027
112092,22020.154
112093,94378.46
112094,31841.328
112095,48104.24
112096,110997.76
112097,29318.031
112098,27644.387
112099,20230.742
112100,38368.242
112101,186606.86
112102,32589.424
112103,127396.62
112104,66828.26
112105,45845.277
112106,95148.12
112107,92081.29
112108,54536.953
112109,29719.334
112110,41673.906
112111,36080.027
112112,58514.5
112113,87906.57
112114,81139.69
112115,21171.062
112116,51658.66
112117,86429.336
112118,25173.98
112119,29042.08
112120,463980.25
112121,127024.24
112122,506781.97
112123,198483.14
112124,52527.273
112125,218017.9
112126,177085.02
112127,10905.995
112128,51710.457
112129,93582.82
112130,107446.93
112131,19436.879
112132,74749.15
112133,270122.25
112134,28040.01
112135,15014.166
112136,53115.15
112137,19839.477
112138,34232.547
112139,69739.67
112140,40603.855
112141,54285.156
112142,40926.207
112143,188346.94
112144,35199.516
112145,44787.64
112146,25672.004
112147,244274.45
112148,56583.367
112149,75315.06
112150,11092.624
112151,354039.4
112152,56572.742
112153,68157.85
112154,37714.324
112155,93224.46
112156,97982.65
112157,90076.98
112158,30973.66
112159,288243.8
112160,62981.406
112161,180531.62
112162,100111.96
112163,15815.238
112164,37455.42
112165,144258.58
112166,38902.93
112167,30630.97
112168,46927.4
112169,324276.22
112170,213249.19
112171,41798.152
112172,8744.257
112173,121720.87
112174,42852.555
112175,23293.896
112176,25740.191
112177,105375.39
112178,14475.493
112179,21552.383
112180,39635.664
112181,14816.147
112182,251709.94
112183,96684.32
112184,22747.55
112185,242737.78
112186,18246.027
112187,135780.45
112188,137901.5
112189,45808.79
112190,36305.2
112191,97607.86
112192,270585.25
112193,31261.92
112194,153657.95
112195,30958.797
112196,14922.244
112197,211592.45
112198,18080.896
112199,43335.062
112200,43733.383
112201,281946.94
112202,122299.125
112203,42580.17
112204,42192.453
112205,18228.986
112206,103639.24
112207,307692.8
112208,79108.66
112209,428530.12
112210,38871.195
112211,260701.1
112212,55536.043
112213,15669.217
112214,210941.38
112215,16549.527
112216,129090.98
112217,45955.96
112218,43654.496
112219,433695.75
112220,38851.055
112221,6626.6616
112222,29859.191
112223,44418.977
112224,152371.53
112225,18915.533
112226,59304.688
112227,62121.49
112228,118172.1
112229,61002.297
112230,182549.6
112231,19224.078
112232,183310.17
112233,28537.533
112234,24491.87
112235,16861.254
112236,84461.305
112237,342076.34
112238,36218.047
112239,17676.896
112240,15385.15
112241,19812.092
112242,37798.203
112243,74370.54
112244,173662.06
112245,95046.71
112246,38846.625
112247,537246.4
112248,107998.1
112249,7823.0674
112250,49418.062
112251,59840.88
112252,45947.145
112253,20459.54
112254,293212.1
112255,33229.85
112256,22057.205
112257,27428.521
112258,413891.78
112259,157095.8
112260,137974.44
112261,352057.34
112262,96413.73
112263,36073.117
112264,92343.87
112265,18689.164
112266,28509.293
112267,63593.438
112268,57748.63
112269,429726.7
112270,14878.245
112271,86191.77
112272,79140.52
112273,147644.97
112274,7045.5938
112275,158619.53
112276,143836.45
112277,60050.297
112278,33132.953
112279,25246.4
112280,126093.32
112281,49922.508
112282,190664.0
112283,117431.39
112284,50897.44
112285,62496.25
112286,48534.586
112287,27228.594
112288,77412.02
112289,231764.88
112290,230598.06
112291,32655.484
112292,646814.75
112293,20133.826
112294,282088.06
112295,30662.297
112296,267288.97
112297,60873.766
112298,53367.625
112299,44648.227
112300,24767.336
112301,41446.305
112302,18989.814
112303,27978.215
112304,187823.19
112305,24078.547
112306,65469.688
112307,43430.11
112308,100078.31
112309,60188.336
112310,35149.133
112311,93543.01
112312,45530.543
112313,122077.51
112314,33587.094
112315,169836.03
112316,44806.61
112317,31597.758
112318,30687.234
112319,33597.836
112320,902165.5
112321,33677.51
112322,28090.209
112323,119581.15
112324,402088.2
112325,201453.48
112326,99967.56
112327,207592.44
112328,116618.9
112329,124939.086
112330,339376.44
112331,303244.72
112332,208985.19
112333,319741.44
112334,198997.39
112335,44711.8
112336,38646.25
112337,336365.78
112338,277754.7
112339,303808.12
112340,42102.36
112341,1045392.25
112342,20635.38
112343,49283.188
112344,25774.031
112345,30456.75
112346,64089.33
112347,19052.988
112348,23770.918
112349,16789.984
112350,91428.48
112351,37684.055
112352,42087.945
112353,9290.562
112354,104892.55
112355,57305.133
112356,79478.19
112357,48912.164
112358,113266.63
112359,36433.184
112360,28918.734
112361,175813.84
112362,58497.777
112363,60446.58
112364,7037.598
112365,8436.24
112366,19641.14
112367,25883.312
112368,39364.242
112369,173543.84
112370,19407.828
112371,440431.0
112372,94862.07
112373,31942.934
112374,16163.28
112375,19569.717
112376,121392.54
112377,139770.12
112378,66432.875
112379,87700.01
112380,94807.305
112381,58531.688
112382,110150.664
112383,17973.434
112384,201973.23
112385,15405.86
112386,171635.25
112387,54487.22
112388,29882.352
112389,34841.72
112390,12161.092
112391,22542.43
112392,132078.5
112393,30487.037
112394,43318.023
112395,11861.184
112396,131480.44
112397,39910.777
112398,333138.56
112399,101230.555
112400,67735.13
112401,127532.01
112402,889750.9
112403,96825.22
112404,132323.16
112405,57988.047
112406,27700.783
112407,20891.855
112408,20200.38
112409,39390.82
112410,21691.33
112411,162032.72
112412,119066.9
112413,43197.254
112414,83898.305
112415,142898.0
112416,67064.586
112417,94542.82
112418,70153.71
112419,203275.72
112420,48821.18
112421,242925.34
112422,123272.26
112423,32955.285
112424,16634.223
112425,35691.664
112426,98752.04
112427,285423.75
112428,162682.56
112429,15159.363
112430,31590.17
112431,142672.16
112432,36351.44
112433,67396.414
112434,37688.258
112435,69006.99
112436,53939.48
112437,53690.508
112438,123761.07
112439,18548.037
112440,241336.95
112441,38949.18
112442,298728.88
112443,36372.062
112444,22399.771
112445,61286.61
112446,389756.2
112447,718270.4
112448,61449.89
112449,80612.27
112450,24348.523
112451,103045.3
112452,19107.611
112453,30716.93
112454,113294.01
112455,735376.4
112456,43155.562
112457,180809.53
112458,115845.47
112459,40794.5
112460,45221.03
112461,447354.6
112462,70790.84
112463,58344.68
112464,40878.72
112465,159333.03
112466,184860.84
112467,35791.016
112468,37418.4
112469,58760.797
112470,38934.285
112471,57276.34
112472,182509.08
112473,62494.797
112474,15278.768
112475,73080.836
112476,104740.54
112477,43764.125
112478,78226.27
112479,22830.371
112480,47042.703
112481,118759.945
112482,44268.79
112483,358560.62
112484,44970.95
112485,83573.445
112486,15938.806
112487,19546.295
112488,170971.62
112489,39407.1
112490,325428.8
112491,84870.29
112492,40250.99
112493,369010.12
112494,27501.746
112495,8454.53
112496,19763.633
112497,221913.48
112498,20450.098
112499,53507.094
112500,11675.637
112501,47184.82
112502,62922.08
112503,39650.164
112504,40627.812
112505,33392.047
112506,58864.24
112507,73753.38
112508,82004.8
112509,16718.62
112510,39109.65
112511,120633.18
112512,12087.182
112513,56894.97
112514,42269.184
112515,77890.48
112516,84105.1
112517,18633.979
112518,73697.24
112519,13346.711
112520,28265.283
112521,149345.11
112522,43399.64
112523,37971.277
112524,69809.74
112525,16344.392
112526,13569.947
112527,46417.117
112528,38579.895
112529,18542.762
112530,100741.88
112531,115293.47
112532,158671.94
112533,113887.27
112534,235681.34
112535,61122.223
112536,98696.88
112537,39445.773
112538,9711.138
112539,170466.94
112540,13305.361
112541,83083.414
112542,224005.05
112543,60278.758
112544,274220.5
112545,17275.803
112546,31614.66
112547,123819.695
112548,615051.5
112549,89710.52
112550,82311.15
112551,11361.525
112552,153310.28
112553,42400.598
112554,90022.555
112555,15962.992
112556,90303.22
112557,51839.535
112558,118503.97
112559,35698.863
112560,23402.275
112561,174302.03
112562,13057.357
112563,169441.69
112564,519766.3
112565,123898.86
112566,31276.264
112567,56297.438
112568,28760.93
112569,124986.445
112570,38959.633
112571,149593.58
112572,197153.64
112573,27728.11
112574,63983.07
112575,83847.7
112576,80536.98
112577,343612.3
112578,322513.53
112579,72303.74
112580,155771.34
112581,34724.53
112582,16022.273
112583,20919.45
112584,197902.08
112585,30714.09
112586,17190.748
112587,140835.47
112588,79378.43
112589,209491.73
112590,22317.125
112591,170484.69
112592,38300.418
112593,14817.732
112594,44585.9
112595,29986.383
112596,72910.62
112597,51481.93
112598,18189.346
112599,7650.756
112600,30581.246
112601,129912.51
112602,34971.55
112603,71776.96
112604,139814.97
112605,25069.834
112606,58449.39
112607,50597.11
112608,99858.32
112609,145838.31
112610,68878.125
112611,224168.16
112612,162344.31
112613,103646.01
112614,190656.1
112615,42635.133
112616,85188.41
112617,61240.883
112618,395477.1
112619,44818.133
112620,32688.264
112621,20803.04
112622,124800.07
112623,51443.83
112624,48747.6
112625,51747.285
112626,123406.64
112627,42994.996
112628,24622.371
112629,46976.72
112630,54351.434
112631,90566.6
112632,164864.06
112633,166272.53
112634,42184.04
112635,48917.17
112636,84843.836
112637,197716.08
112638,17839.518
112639,60423.258
112640,32355.043
112641,32826.37
112642,248958.38
112643,58195.668
112644,136585.97
112645,72363.21
112646,23124.508
112647,45390.863
112648,53134.53
112649,33574.836
112650,15113.359
112651,35484.82
112652,14668.611
112653,36427.633
112654,43181.133
112655,27312.45
112656,23818.14
112657,297121.94
112658,629693.75
112659,95724.21
112660,49715.133
112661,207798.11
112662,115814.62
112663,103183.17
112664,239541.03
112665,404855.6
112666,115150.6
112667,26699.473
112668,39304.43
112669,117493.01
112670,16704.248
112671,218244.0
112672,115977.04
112673,66161.16
112674,25397.047
112675,52194.977
112676,35787.727
112677,21298.332
112678,24575.062
112679,103833.53
112680,130727.555
112681,17416.637
112682,115916.74
112683,20873.545
112684,269255.75
112685,27645.354
112686,25252.871
112687,19414.207
112688,19250.545
112689,131193.31
112690,35970.766
112691,53325.29
112692,27649.164
112693,108590.49
112694,44630.46
112695,156979.16
112696,119721.77
112697,124756.91
112698,69051.23
112699,321705.38
112700,204747.42
112701,356429.6
112702,143933.95
112703,28731.816
112704,24291.57
112705,212181.7
112706,81182.36
112707,19821.566
112708,104150.77
112709,154217.81
112710,55347.957
112711,66550.78
112712,15235.803
112713,44046.0
112714,133065.52
112715,111689.75
112716,30981.191
112717,11324.086
112718,45909.727
112719,24868.11
112720,26690.139
112721,26963.975
112722,45424.305
112723,36365.28
112724,37100.375
112725,71690.93
112726,6103.1484
112727,59656.89
112728,155422.97
112729,56094.65
112730,19018.451
112731,58189.42
112732,11163.68
112733,53278.703
112734,195755.48
112735,9174.02
112736,53419.93
112737,48122.92
112738,384462.88
112739,24203.803
112740,78440.055
112741,21928.127
112742,18198.943
112743,31341.752
112744,127318.93
112745,189067.52
112746,36343.156
112747,63503.184
112748,379830.75
112749,61337.656
112750,13051.4375
112751,394164.94
112752,51038.613
112753,43276.336
112754,177686.62
112755,46349.816
112756,54972.688
112757,84955.305
112758,15449.709
112759,8836.484
112760,42977.805
112761,81214.44
112762,364997.75
112763,26010.785
112764,127693.4
112765,19845.781
112766,71644.695
112767,833162.4
112768,21057.496
112769,101510.055
112770,35284.266
112771,66308.46
112772,36082.242
112773,103545.945
112774,23281.676
112775,44407.848
112776,45305.023
112777,32363.354
112778,663915.7
112779,177109.56
112780,183714.77
112781,86060.48
112782,28337.438
112783,30942.77
112784,47679.72
112785,19603.98
112786,81882.07
112787,54261.918
112788,57337.344
112789,55752.098
112790,105415.336
112791,132423.5
112792,12358.783
112793,68430.234
112794,611511.56
112795,21553.633
112796,40724.67
112797,56292.65
112798,68893.1
112799,128332.375
112800,33732.57
112801,11697.256
112802,164236.31
112803,483075.25
112804,37485.832
112805,90666.164
112806,8354.431
112807,26198.305
112808,265143.12
112809,37976.188
112810,163682.38
112811,149206.78
112812,80819.56
112813,204269.47
112814,50001.06
112815,41583.25
112816,33287.613
112817,72698.52
112818,48380.32
112819,51454.57
112820,293536.2
112821,35376.3
112822,31991.93
112823,36308.5
112824,35085.81
112825,35928.58
112826,66991.805
112827,54652.008
112828,69958.41
112829,28654.621
112830,73254.055
112831,90157.38
112832,57533.652
112833,114629.37
112834,43555.477
112835,141094.94
112836,28221.082
112837,126054.04
112838,351844.6
112839,57741.508
112840,122902.48
112841,49731.61
112842,213795.72
112843,47160.24
112844,38791.117
112845,32545.145
112846,269067.06
112847,69191.414
112848,168640.86
112849,136096.69
112850,155359.94
112851,159618.34
112852,12829.59
112853,251031.0
112854,33952.086
112855,385297.25
112856,46840.523
112857,15687.984
112858,47887.508
112859,156007.22
112860,29098.936
112861,229869.34
112862,14675.4
112863,54935.05
112864,189647.47
112865,16431.23
112866,249584.36
112867,20825.64
112868,38806.69
112869,76398.22
112870,73471.31
112871,128151.76
112872,24065.545
112873,199515.19
112874,105100.94
112875,84663.55
112876,243501.84
112877,26724.125
112878,373139.5
112879,366950.44
112880,55595.406
112881,30938.105
112882,529051.25
112883,26499.969
112884,24698.242
112885,40972.19
112886,69202.69
112887,11432.42
112888,115571.99
112889,112089.0
112890,187063.19
112891,101804.19
112892,64560.18
112893,41492.9
112894,326357.72
112895,12412.369
112896,5990.814
112897,42665.71
112898,199101.72
112899,28518.832
112900,72846.38
112901,65922.414
112902,28026.893
112903,207072.19
112904,218677.33
112905,41687.535
112906,43336.57
112907,5799.434
112908,7220.812
112909,524438.9
112910,97118.81
112911,61806.516
112912,26034.938
112913,95756.76
112914,15564.243
112915,211628.12
112916,337294.2
112917,76596.305
